lemma,pos,sentiment,category,source_en,verified
arbitraż,NOUN,negative,litigious,arbitral;arbitrate;arbitrated;arbitrating;arbitration,auto
arbitrażowy,ADJ,negative,litigious,arbitrational;arbitrative,auto
aresztowany,ADJ,negative,litigious,arrested;remanded,auto
aresztować,NOUN,negative,negative,arrest;arrests,auto
argument,NOUN,negative,negative,argument;arguments;reargument,auto
argumentacyjny,ADJ,negative,negative,argumentative,auto
argumentować,ADJ,negative,negative,arguing,auto
argumentować,VERB,negative,negative,argued,auto
asertywny,ADJ,negative,litigious,assertable,auto
atak,NOUN,negative,negative,assault,manual
atrakcyjnoście,NOUN,positive,positive,attractiveness,auto
atrakcyjny,ADJ,positive,positive,attractive,auto
attorna,NOUN,negative,litigious,attorn,auto
attorns,NOUN,negative,litigious,attorns,auto
autoryzować,ADJ,negative,negative,unauthorized,auto
awaria,ADV,negative,negative,breakdowns;fails;failures;malfunctions,auto
awaria,NOUN,negative,negative,failure;malfunction,auto
badany,ADJ,negative,negative,investigated,auto
badać,VERB,negative,negative,investigates,auto
bailee,ADV,negative,litigious,bailee,auto
bailees,NOUN,negative,litigious,bailees,auto
balka,NOUN,negative,negative,balk,auto
bankrucić,NOUN,negative,negative,bankrupts,auto
bankructwo,NOUN,negative,negative,bankruptcies;bankruptcy;bankrupting,auto
bankrut,NOUN,negative,negative,bankrupt,auto
bariera,NOUN,negative,negative,barriers,auto
barierać,VERB,negative,negative,barrier,auto
bezapelacyjny,ADJ,negative,litigious,nonappealable;unappealable;unappealed,auto
bezczynność,NOUN,negative,negative,idle;inaction;inactivity,auto
bezczynny,ADJ,negative,negative,idled,auto
bezdźwięczny,ADJ,negative,negative,unsound,auto
bezinteresownie,ADV,negative,negative,disinterestedly;gratuitously,auto
bezinteresowność,NOUN,negative,negative,disinterestedness,auto
bezinteresowny,ADJ,negative,negative,disinterested,auto
bezpodstawny,ADJ,negative,negative,groundless;unfounded;unsubstantiated,auto
bezprawnie,ADV,negative,negative,unlawfully,auto
bezprawność,NOUN,negative,litigious,unlawfulness,auto
bezprawny,ADJ,negative,negative,wrongful,auto
bezpłatny,ADJ,positive,positive,complimentary,auto
bezrobocie,NOUN,negative,negative,unemployment,auto
bezrobotny,ADJ,negative,negative,unemployed,auto
bezskutecznie,ADV,negative,negative,unsuccessfully,auto
bezsporność,NOUN,negative,litigious,incontestability,auto
bezużyteczny,ADJ,negative,negative,unusable,auto
bezwartościowy,ADJ,negative,negative,worthless,auto
bezwarunkowy,ADJ,negative,litigious,noncontingent,auto
bezzasadnie,ADV,negative,negative,unduly;unjustifiably,auto
bezzasadny,ADJ,negative,negative,unmeritorious,auto
biec,VERB,positive,positive,proficient,auto
biedny,ADJ,negative,negative,poor,auto
bieg,NOUN,negative,negative,idling,auto
biegłość,NOUN,positive,positive,proficiency,auto
blokada,NOUN,negative,negative,lockouts,auto
blokadać,NOUN,negative,negative,lockout,auto
bojkot,NOUN,negative,negative,boycott;boycotting;boycotts,auto
bonafide,VERB,negative,litigious,bonafide,auto
boom,NOUN,positive,positive,booming,auto
brak,NOUN,negative,negative,deficiencies;illiquidity;inexperience;lack;lacking;lacks;nonpayment;nonpayments;nonforfeiture;noninfringement,auto
brakować,VERB,negative,negative,lacked,auto
bronić,ADJ,negative,negative,defended,auto
bronić,VERB,negative,negative,defend;defends,auto
być,NOUN,negative,litigious,bona,auto
błagać,VERB,negative,negative,plead;pleads,auto
błąd,NOUN,negative,negative,error;errors;errs;fault;miscalculation;mislead;misleads;misled;misrepresent;misrepresented;misstep;mistake;mistakes,auto
błądzić,NOUN,negative,negative,erring,auto
błędnie,ADV,negative,negative,erroneously;misstated,auto
błędny,ADJ,negative,negative,erred;erroneous,auto
cedent,NOUN,negative,litigious,cedant;cedants,auto
celowo,ADV,negative,negative,deliberately,auto
celowy,ADJ,negative,negative,deliberate;intentional,auto
cenzura,NOUN,negative,negative,censures,auto
cenzurować,NOUN,negative,negative,censuring,auto
certiorari,NOUN,negative,litigious,certiorari,auto
cesja,NOUN,negative,litigious,cession,auto
charakterystyczny,ADJ,positive,positive,distinctive,auto
charakterystyka,NOUN,negative,negative,mischaracterization,auto
charytatywny,ADJ,positive,positive,charitable,auto
chcieć,ADJ,negative,negative,unwanted,auto
choaty,NOUN,negative,litigious,choate,auto
chwytać,VERB,negative,negative,seize,auto
chybić,NOUN,negative,negative,misses,auto
chór,ADJ,negative,negative,ill,auto
cierpienie,NOUN,negative,negative,suffering,auto
cierpieć,VERB,negative,negative,suffer,auto
cieszyć,ADJ,positive,positive,enjoying,auto
cieszyć,VERB,positive,positive,enjoy;enjoyed;enjoys,auto
cień,NOUN,negative,negative,overshadows,auto
ciąć,ADV,negative,negative,cut;cutback,auto
ciąć,NOUN,negative,negative,cutbacks,auto
ciężar,NOUN,negative,negative,deadweight,auto
cofnąć,ADV,negative,negative,revocation;setback,auto
cofnąć,NOUN,negative,negative,revocations,auto
conveniens,NOUN,negative,litigious,conveniens,auto
cyberatak,NOUN,negative,negative,cyberattack,auto
cyberprzemoc,NOUN,negative,negative,cyberbullying,auto
cyberprzestępca,NOUN,negative,negative,cybercriminal;cybercriminals,auto
cyberprzestępczość,NOUN,negative,negative,cybercrime,auto
cyberprzestępstwo,NOUN,negative,negative,cybercrimes,auto
czyn,NOUN,negative,litigious,torts,auto
daleko,ADV,negative,litigious,hereafter;hereinafter;thereinafter,auto
datować,ADJ,negative,negative,misdated,auto
datować,NOUN,negative,negative,backdating,auto
defacement,NOUN,negative,negative,defacement,auto
defalkacja,NOUN,negative,litigious,defalcations,auto
defalkulacja,NOUN,negative,litigious,defalcation,auto
defensywny,ADJ,negative,negative,defensive,auto
deficyt,NOUN,negative,negative,deficit;deficits,auto
defraudacja,NOUN,negative,negative,defraud;defrauding;embezzle;embezzlement;embezzles;embezzling,auto
degradacja,NOUN,negative,negative,degradation;degradations;degrades;demote;demotes;demoting;demotion;demotions,auto
degradować,ADJ,negative,negative,degrading,auto
degradować,VERB,negative,negative,degrade,auto
dekret,NOUN,negative,litigious,decree,auto
dekretuć,ADJ,negative,litigious,decreeing,auto
delegacić,NOUN,negative,litigious,delegees,auto
delegata,NOUN,negative,litigious,delegatee,auto
delegowalny,ADJ,negative,litigious,delegable;delegatable,auto
delikt,NOUN,negative,litigious,tort,auto
deliktowo,ADV,negative,litigious,tortiously,auto
deliktowy,ADJ,negative,litigious,tortious,auto
deponować,NOUN,negative,litigious,deposing,auto
depos,NOUN,negative,litigious,depose,auto
depozycja,NOUN,negative,litigious,deposition,auto
depozycyjny,ADJ,negative,litigious,depositional,auto
depozyt,NOUN,negative,constraining,deposes;escrowing;escrow;escrows,auto
deprecjacja,NOUN,negative,negative,deprecation,auto
depresja,NOUN,negative,negative,depress,auto
depreswać,NOUN,negative,negative,depresses,auto
deprywacja,NOUN,negative,negative,deprivation,auto
derogować,ADJ,negative,litigious,derogated,auto
destabilizacja,NOUN,negative,negative,destabilization,auto
destabilizować,ADJ,negative,negative,destabilizing,auto
destabilizować,VERB,negative,negative,destabilize,auto
destrukcyjny,ADJ,negative,negative,destructive;disruptive,auto
desygnator,NOUN,negative,litigious,designator,auto
dewaluacja,NOUN,negative,negative,devalue;devaluing,auto
dewaluować,VERB,negative,negative,devalues,auto
dewolucja,NOUN,negative,negative,devolving,auto
dezafirmacja,NOUN,negative,litigious,disaffirm;disaffirmance,auto
dezaktywować,ADJ,negative,negative,inactivating,auto
dezaktywować,VERB,negative,negative,inactivate;inactivates,auto
dezaprobata,NOUN,negative,negative,disapproval;disapprovals;disapprove;disapproving,auto
dezawuować,NOUN,negative,negative,disavowing,auto
dezinformacja,NOUN,negative,negative,misinform;misinformation;misinforming,auto
dezinformować,VERB,negative,negative,misinforms,auto
dezinwestycja,NOUN,negative,negative,divestment;divestments,auto
dezorientacja,NOUN,negative,negative,confuse,auto
dezorientować,VERB,negative,negative,confuses,auto
dlaczego,ADV,negative,litigious,wherefore,auto
dlatego,ADV,negative,litigious,herefore,auto
dobrobyt,NOUN,positive,positive,prosperity,auto
dobry,ADJ,positive,positive,best;better,manual
dobry,NOUN,positive,positive,good,auto
doceniać,ADJ,negative,negative,underestimated,auto
doceniać,VERB,negative,negative,underestimates,auto
dochodzenie,NOUN,negative,negative,investigation;investigations,auto
docket,NOUN,negative,litigious,docket,auto
dodatek,NOUN,negative,litigious,addendums;appurtenances,auto
dofinansować,ADJ,negative,negative,underfunded,auto
dofinansować,NOUN,negative,negative,bailout,auto
doinformować,ADJ,negative,negative,misinformed,auto
dokapitalizować,ADJ,negative,negative,undercapitalized,auto
dokować,NOUN,negative,litigious,docketing,auto
dokręcać,NOUN,negative,negative,tightening,auto
dokument,NOUN,negative,litigious,dockets;hereof;hereto;herewithin,auto
domniemanie,NOUN,negative,uncertainty,presumption;presumptions,auto
domniemany,ADJ,negative,negative,alleged;presumed,auto
domyślny,ADJ,negative,negative,default;defaulted;defaulting;defaults,auto
done,NOUN,negative,litigious,donees,auto
doniesienie,NOUN,negative,negative,purports,auto
dopowiedzieć,ADJ,negative,negative,understated,auto
dopuszczalnie,ADV,negative,litigious,admissibly,auto
dopuszczalność,NOUN,negative,litigious,admissibility,auto
dopuszczalny,ADJ,negative,constraining,admissible;permissible,auto
doradca,NOUN,negative,litigious,counsels,auto
doradcać,NOUN,negative,litigious,counsel,auto
doradzać,ADJ,negative,litigious,counselled,auto
doradzać,VERB,negative,litigious,counseled,auto
doskonale,ADV,positive,positive,perfectly,auto
doskonać,ADJ,positive,positive,excellent;excelling;perfect,auto
doskonałość,NOUN,positive,positive,excellence;perfects,auto
dostarczyć,ADJ,negative,negative,undelivered,auto
dostatnić,ADJ,positive,positive,prosperous,auto
dotkliwość,NOUN,negative,negative,severities;severity,auto
dotychczas,ADV,negative,litigious,heretofore;theretofore,auto
downsiz,NOUN,negative,negative,downsize,auto
downsizing,NOUN,negative,negative,downsizing,auto
dowodowy,ADJ,negative,litigious,evidential;evidentiary,auto
dowolny,ADJ,negative,uncertainty,arbitrary,auto
dozwolić,ADJ,negative,constraining,permitted,auto
doścignić,ADJ,positive,positive,unsurpassed,auto
doświadczyć,ADJ,negative,negative,inexperienced,auto
drapieżny,ADJ,negative,negative,predatory,auto
drastycznie,ADV,negative,negative,drastically,auto
drastyczny,ADJ,negative,negative,drastic,auto
drobny,ADJ,negative,negative,petty,auto
dyktować,NOUN,negative,constraining,dictating,auto
dyktować,VERB,negative,constraining,dictate;dictates,auto
dyrektywa,NOUN,negative,constraining,directive;directives,auto
dyscyplinarny,ADJ,negative,negative,disciplinary,auto
dysfunkcja,NOUN,negative,negative,dysfunction;dysfunctions,auto
dysfunkcyjny,ADJ,negative,negative,dysfunctional,auto
dyskredytacja,NOUN,negative,negative,discrediting;disparagement,auto
dyskredytować,ADJ,negative,negative,disparaging,auto
dyskredytować,VERB,negative,negative,discredit;discredits;disparage;disparages,auto
dyskwalifikacja,NOUN,negative,negative,disqualification;disqualifications,auto
dyskwalifikować,VERB,negative,negative,disqualifies;disqualify,auto
dyskwalifikuć,ADJ,negative,negative,disqualifying,auto
dysocjacja,NOUN,negative,negative,disassociations,auto
dysproporcja,NOUN,negative,negative,disparagements;disparities;disparity;disproportion,auto
dysydent,NOUN,negative,negative,dissenter;dissenters;dissident;dissidents,auto
dywersja,NOUN,negative,negative,diversion,auto
dziedziczenie,NOUN,negative,litigious,intestacy,auto
dzierżawa,NOUN,negative,litigious,tenantability,auto
dół,NOUN,negative,negative,downward;downwards,auto
dłużnik,NOUN,negative,litigious,obligor;obligors,auto
efektywnie,ADV,positive,positive,efficiently,auto
efektywność,NOUN,positive,positive,efficiencies;efficiency,auto
egzekutor,NOUN,negative,litigious,executrices,auto
egzekwowalny,ADJ,negative,litigious,enforceably,auto
ekscytujący,ADJ,positive,positive,exciting,auto
ekskluzywność,NOUN,positive,positive,exclusives,auto
ekskluzywny,ADJ,positive,positive,exclusive,auto
eksmisja,NOUN,negative,negative,evicting;eviction,auto
eksmisć,NOUN,negative,negative,evictions;evicts,auto
eksmitować,ADJ,negative,negative,evicted,auto
eksmitować,VERB,negative,negative,evict,auto
eksploatacja,NOUN,negative,negative,exploitation,auto
eksponować,VERB,negative,negative,exposes,auto
ekspozycja,NOUN,negative,uncertainty,expose;exposure;exposures,auto
embargać,NOUN,negative,negative,embargoes,auto
embargo,NOUN,negative,negative,embargo;embargoed;embargoing,auto
entuzjastycznie,ADV,positive,positive,enthusiastically,auto
entuzjastyczny,ADJ,positive,positive,enthusiastic,auto
entuzjazm,NOUN,positive,positive,enthusiasm,auto
erodować,ADJ,negative,negative,eroded,auto
erozja,NOUN,negative,negative,erode;erodes;eroding;erosion,auto
escheat,NOUN,negative,litigious,escheat,auto
escheatment,NOUN,negative,litigious,escheatment,auto
eskalować,ADJ,negative,negative,escalated,auto
eskalować,VERB,negative,negative,escalate;escalates,auto
eskaluć,ADJ,negative,negative,escalating,auto
estoppel,NOUN,negative,litigious,estoppel,auto
etykieta,NOUN,negative,negative,mislabels,auto
exploit,NOUN,negative,negative,exploitations;exploits,auto
fantastyczny,ADJ,positive,positive,fantastic,auto
fat,NOUN,negative,litigious,facie,auto
faworyt,NOUN,positive,positive,favorites,auto
faworyzować,ADJ,positive,positive,favored,auto
faworyzować,NOUN,positive,positive,favoring,auto
fałsać,NOUN,negative,negative,falsity,auto
fałszerstwo,NOUN,negative,negative,adulteration;counterfeiting;falsification;falsifications;forgery,auto
fałszerz,NOUN,negative,negative,counterfeiter;counterfeiters;forgers,auto
fałszować,NOUN,negative,negative,adulterating;falsifying,auto
fałszować,VERB,negative,negative,adulterate;falsifies;falsify,auto
fałszywie,ADV,negative,negative,falsely,auto
fałszywy,NOUN,negative,negative,false,auto
fide,VERB,negative,litigious,fide,auto
fikcyjny,ADJ,negative,negative,fictitious,auto
finansować,ADJ,negative,negative,unfunded,auto
fluktuacja,NOUN,negative,uncertainty,fluctuation,auto
foreclosing,NOUN,negative,negative,foreclosing,auto
foreclosures,NOUN,negative,negative,foreclosures,auto
frustracja,NOUN,negative,negative,frustration;frustrations,auto
frustrować,VERB,negative,negative,frustrate;frustrates,auto
frustrująco,ADV,negative,negative,frustratingly,auto
frustruć,ADJ,negative,negative,frustrating,auto
gadżet,NOUN,negative,litigious,chattel,auto
gardło,NOUN,negative,negative,bottleneck;bottlenecks,auto
gdzieś,ADV,negative,uncertainty,somewhere,auto
genialny,ADJ,positive,positive,brilliant,auto
godny,ADJ,positive,positive,worthy,auto
gorszyć,ADJ,negative,negative,inferior;worse,auto
grantodawca,NOUN,negative,litigious,grantor;grantors,auto
grozić,VERB,negative,negative,threaten,auto
groźba,NOUN,negative,negative,threatening,auto
grzywna,NOUN,negative,negative,fined;fines,auto
gwarancja,NOUN,negative,litigious,warrantees,auto
gwarant,NOUN,negative,litigious,warrantor,auto
gwarantować,ADJ,negative,uncertainty,unguaranteed,auto
gwałtownie,ADV,negative,negative,abruptly;precipitously;violently,auto
gwałtowność,NOUN,negative,negative,abruptness,auto
gwałtowny,ADJ,negative,negative,precipitous;violent,auto
gładki,NOUN,positive,positive,smooth,auto
hamować,ADJ,negative,constraining,inhibiting,auto
hamować,VERB,negative,constraining,inhibit;inhibits,auto
hampers,NOUN,negative,negative,hampers,auto
haniebnie,ADV,negative,negative,disgracefully,auto
haniebny,NOUN,negative,negative,disgraceful,auto
haracz,NOUN,negative,negative,racketeering,auto
hańba,NOUN,negative,negative,disgrace;dishonor;dishonoring;dishonors;disrepute,auto
honor,NOUN,positive,positive,honor,auto
honorowy,ADJ,positive,positive,honorable,auto
idealny,ADJ,positive,positive,ideal,auto
ignorować,ADJ,negative,negative,ignored,auto
ignorować,NOUN,negative,negative,ignoring,auto
ignorować,VERB,negative,negative,ignore;ignores,auto
ile,ADV,negative,litigious,inasmuch;insofar,auto
impas,NOUN,negative,negative,deadlock;deadlocked;deadlocking;impasse;impasses,auto
imperatywny,ADJ,negative,negative,imperative,auto
implikować,VERB,negative,negative,implicate;implicates,auto
implikuć,ADJ,negative,negative,implicating,auto
imponować,VERB,positive,positive,impress;impresses,auto
imponująco,ADV,positive,positive,impressively,auto
imponujący,ADJ,positive,positive,impressing;impressive,auto
inakcja,NOUN,negative,negative,inactions,auto
inaktywacja,NOUN,negative,negative,inactivation;inactivations,auto
inaktywować,ADJ,negative,negative,inactivated,auto
inchoaty,NOUN,negative,litigious,inchoate,auto
incydent,NOUN,negative,negative,incident;incidents,auto
indemnitor,NOUN,negative,litigious,indemnitor,auto
indosant,NOUN,negative,litigious,indorsees,auto
informacyjny,ADJ,positive,positive,informative,auto
inforzec,NOUN,negative,litigious,inforce,auto
ingerencja,NOUN,negative,negative,interference,auto
ingerować,ADJ,negative,negative,interfering,auto
innowacja,NOUN,positive,positive,innovate;innovates;innovating;innovation;innovations,auto
innowacyjność,NOUN,positive,positive,innovativeness,auto
innowacyjny,ADJ,positive,positive,innovated;innovative,auto
innowator,NOUN,positive,positive,innovator;innovators,auto
inspiracja,NOUN,positive,positive,inspiration,auto
inspirować,ADJ,positive,positive,inspirational,auto
integralność,NOUN,positive,positive,integrity,auto
interpleader,ADV,negative,litigious,interpleader,auto
interpozycja,NOUN,negative,litigious,interposition;interpositions,auto
interpretacja,NOUN,negative,negative,misinterpret;misinterpretation;misinterpretations;misinterpreting,auto
interpretować,ADJ,negative,litigious,construed,auto
interpretować,VERB,negative,litigious,misinterprets;construe;construes,auto
interweniować,VERB,negative,litigious,interpose,auto
intestat,NOUN,negative,litigious,intestate,auto
irytacja,NOUN,negative,negative,annoyance;annoyances,auto
irytować,ADJ,negative,negative,annoying,auto
irytować,VERB,negative,negative,annoy;annoys,auto
jawnie,ADV,negative,negative,overtly,auto
juror,NOUN,negative,litigious,juror,auto
jury,NOUN,negative,litigious,jury,auto
juryman,NOUN,negative,litigious,juryman,auto
jurysdykcja,NOUN,negative,litigious,juris;jurisdiction;nonjurisdictional,auto
jurysdykcyjnie,ADV,negative,litigious,jurisdictionally,auto
jurysdykcyjny,ADJ,negative,litigious,jurisdictional,auto
jurysdykcć,NOUN,negative,litigious,jurisdictions,auto
język,NOUN,negative,litigious,legalese,auto
kaprysa,NOUN,negative,uncertainty,vagaries,auto
kara,NOUN,negative,negative,penalizes;penalties;penalty;punishes;punishment;punishments,auto
karacić,VERB,negative,negative,penalize,auto
karalny,ADJ,negative,litigious,punishable,auto
karanie,NOUN,negative,negative,penalizing;punishing,auto
karny,ADJ,negative,negative,punitive,auto
katastrofa,NOUN,negative,negative,catastrophe;catastrophes;disaster;disasters,auto
katastrofalnie,ADV,negative,negative,catastrophically;disastrously,auto
katastrofalny,ADJ,negative,negative,calamitous;catastrophic;disastrous,auto
kaucja,NOUN,negative,litigious,bail;bailed,auto
kiedykolwiek,ADV,negative,litigious,whensoever,auto
kiedyś,ADV,negative,uncertainty,sometime,auto
klasyfikować,VERB,negative,negative,misclassify,auto
klęski,NOUN,negative,negative,calamities,auto
kodycyl,NOUN,negative,litigious,codicil,auto
kodyfikacja,NOUN,negative,litigious,codification;codifications;codifying,auto
kodyfikować,VERB,negative,litigious,codifies;codify,auto
kolizja,NOUN,negative,negative,collision;collisions,auto
komitet,NOUN,negative,litigious,permittees,auto
komornik,NOUN,negative,litigious,bailiff;bailiffs,auto
kompensacyjny,ADJ,negative,litigious,compensatory,auto
komplement,NOUN,positive,positive,compliment;compliments,auto
komplementowan,NOUN,positive,positive,complimenting,auto
komplikacja,NOUN,negative,negative,complication;complications,auto
komplikować,ADJ,negative,negative,complicating,auto
komplikować,VERB,negative,negative,complicate;complicates,auto
komunikacja,NOUN,negative,negative,miscommunication,auto
konfiskata,NOUN,negative,negative,confiscating;confiscation;confiscations;impound;impounding;impounds;confiscatory,auto
konfiskować,VERB,negative,negative,confiscate;confiscates,auto
konflikt,NOUN,negative,negative,conflict;conflicts,auto
konfrontacja,NOUN,negative,negative,confront;confrontation;confrontations;confronting;confronts,auto
konfrontacyjny,ADJ,negative,negative,confrontational,auto
konieczny,ADJ,negative,constraining,necessitated,auto
konspiracyjny,ADJ,negative,negative,conspiratorial,auto
konspirator,NOUN,negative,negative,conspirator,auto
konstruktywnie,ADV,positive,positive,constructively,auto
konstruktywny,ADJ,positive,positive,constructive,auto
konstruować,NOUN,negative,litigious,construing,auto
konstytucja,NOUN,negative,litigious,constitution;constitutions,auto
konstytucyjnie,ADV,negative,litigious,constitutionally,auto
konstytucyjność,NOUN,negative,litigious,constitutionality,auto
konstytucyjny,ADJ,negative,litigious,constitutional,auto
konstytutywny,ADJ,negative,litigious,constitutive,auto
kontestacja,NOUN,negative,litigious,contestation,auto
kontestowalność,NOUN,negative,litigious,contestability,auto
kontradyktoryjny,ADJ,negative,negative,adversarial,auto
kontrahent,NOUN,negative,litigious,contractholders,auto
kontraktować,ADJ,negative,litigious,uncontracted,auto
kontraktować,NOUN,negative,litigious,contracting,auto
kontrasygnata,NOUN,negative,litigious,countersignor,auto
kontrola,NOUN,negative,negative,scrutiny,auto
kontrolować,ADJ,negative,negative,uncontrollable;uncontrolled,auto
kontrowersja,NOUN,negative,negative,controversy,auto
kontrowerswać,NOUN,negative,negative,controversies,auto
kontrowersyjnie,ADV,negative,negative,contentiously,auto
kontrowersyjć,ADJ,negative,litigious,controversial;controvert;controverted;controverting,auto
kontyngent,NOUN,negative,uncertainty,contingency;contingents,auto
korekta,NOUN,negative,negative,correction;corrections,auto
korupcja,NOUN,negative,negative,corrupting;corruption;corruptions,auto
korygować,ADJ,negative,negative,correcting,auto
korygować,VERB,negative,negative,corrects,auto
korzystnie,ADV,positive,positive,advantageously;beneficially;favorably,auto
korzystny,ADJ,positive,positive,advantageous;beneficial;benefitting;favorable,auto
korzyść,NOUN,positive,positive,benefit;benefiting,auto
kosztowny,ADJ,negative,negative,costly,auto
koć,NOUN,negative,negative,hamper,auto
kończyć,VERB,negative,negative,terminates,auto
kpina,NOUN,negative,negative,ridicules,auto
kpinać,NOUN,negative,negative,ridicule,auto
kreatywnie,ADV,positive,positive,creatively,auto
kreatywność,NOUN,positive,positive,creativeness;creativity,auto
kreatywny,ADJ,positive,positive,creative,auto
kryminalizacja,NOUN,negative,litigious,criminalizing,auto
kryminalizować,VERB,negative,litigious,criminalize,auto
krytycznie,ADV,negative,negative,critically,auto
krytyczny,ADJ,negative,negative,critical,auto
krytyka,NOUN,negative,negative,criticism;criticisms;criticizing,auto
krytykować,ADJ,negative,negative,criticized,auto
krytykować,VERB,negative,negative,criticize;criticizes,auto
kryzys,NOUN,negative,negative,crises;crisis,auto
krzywda,NOUN,negative,negative,harm;harming,auto
krzywoprzysięstwo,NOUN,negative,negative,perjury,auto
kręty,ADJ,negative,negative,tortuous,auto
kupić,NOUN,negative,negative,unmerchantable,auto
kurator,NOUN,negative,litigious,probationer;probationers,auto
kurczliwy,ADJ,negative,litigious,contractile,auto
kwestionowanie,NOUN,negative,negative,contesting,auto
kwestionowany,ADJ,negative,negative,contested;questioned,auto
kłamstwo,NOUN,negative,negative,lie;lying,auto
kłopot,NOUN,negative,negative,trouble;troubles,auto
kłopotliwy,ADJ,negative,negative,embarrassing,auto
las,NOUN,negative,negative,forestalls,auto
legacić,NOUN,negative,litigious,legatees,auto
legalizacja,NOUN,negative,litigious,legalization;legalizations;legalizing,auto
legalizować,VERB,negative,litigious,legalizes,auto
legalnie,ADV,negative,litigious,legally,auto
legalność,NOUN,negative,litigious,legality;legals,auto
legalny,ADJ,negative,litigious,legal,auto
legislacyjnie,ADV,negative,litigious,legislatively,auto
legislacyjny,ADJ,negative,litigious,legislative,auto
lekceważyć,ADJ,negative,negative,disregarded,auto
lekceważyć,NOUN,negative,negative,disregard;disregarding;disregards,auto
lekceważąco,ADV,negative,negative,disparagingly,auto
lekkomyślnie,ADV,negative,negative,recklessly,auto
lekkomyślność,NOUN,negative,negative,recklessness,auto
lekkomyślny,ADJ,negative,negative,reckless,auto
licencja,NOUN,negative,negative,unlicensed,auto
licencjonowalny,ADJ,negative,litigious,licensable,auto
lichwiarz,NOUN,negative,negative,usurious,auto
lichwo,NOUN,negative,negative,usury,auto
likwidacja,NOUN,negative,negative,liquidating;liquidation;liquidations,auto
likwidator,NOUN,negative,negative,liquidator;liquidators,auto
likwidować,VERB,negative,negative,liquidate;liquidates,auto
limit,NOUN,negative,constraining,limit;limits,auto
lojalny,ADJ,positive,positive,loyal,auto
losowo,ADV,negative,uncertainty,randomized;randomly,auto
losowość,NOUN,negative,uncertainty,randomness,auto
losowy,ADJ,negative,uncertainty,random,auto
lotny,ADJ,negative,negative,volatile,auto
lubieć,ADJ,negative,negative,disfavored,auto
lukratywny,ADJ,positive,positive,lucrative,auto
maleć,ADJ,negative,negative,declining;diminishing,auto
malwersacja,NOUN,negative,negative,embezzlements,auto
malwersant,NOUN,negative,negative,embezzler,auto
mandamus,NOUN,negative,litigious,mandamus,auto
mandat,NOUN,negative,constraining,mandate;mandates,auto
manipulacja,NOUN,negative,negative,manipulation;manipulations,auto
manipulacyjny,ADJ,negative,negative,manipulative,auto
manipulować,ADJ,negative,negative,manipulated,auto
manipulować,NOUN,negative,negative,manipulating,auto
manipulować,VERB,negative,negative,manipulate;manipulates,auto
markdown,NOUN,negative,negative,markdown,auto
marnotrawstwo,NOUN,negative,negative,wasting,auto
marzenie,NOUN,positive,positive,dream,auto
mediacja,NOUN,negative,litigious,mediation;mediations,auto
mediator,NOUN,negative,litigious,mediator;mediators,auto
mianować,ADJ,negative,litigious,appointor,auto
mimowolnie,ADV,negative,negative,involuntarily,auto
mimowolny,ADJ,negative,negative,involuntary,auto
mishandles,NOUN,negative,negative,mishandles,auto
mishandło,ADV,negative,negative,mishandle,auto
monopol,NOUN,negative,negative,monopoly,auto
monopolista,NOUN,negative,negative,monopolists,auto
