lemma,pos,sentiment,markedness,n_synsets
antyafrykański,ADV,negative,- s,1
antyalkoholowy,ADV,positive,+ s,1
antyarabski,ADV,negative,- s,1
antybakteryjnie,ADJ,positive,+ s,2
antybiałoruski,ADV,negative,- s,1
antybiurokratyczny,ADV,positive,+ s,2
antybodziec,VERB,negative,- s,2
antychryst,VERB,negative,- m,2
antychrześcijański,ADV,negative,- s,2
antychłopski,ADV,negative,- s,2
antycudzoziemski,ADV,negative,- s,1
antycukrzycowo,ADJ,positive,+ s,2
antycywilizacyjny,ADV,negative,- s,2
antyczeczeński,ADV,negative,- s,1
antycznie,ADJ,negative,- s,2
antyczny,ADV,negative,- s,2
antydemokratyczny,ADV,negative,- s,2
antydepresyjnie,ADJ,positive,+ s,4
antydepresyjny,ADV,positive,+ s,2
antyfan,VERB,negative,- s,1
antyfeminista,VERB,negative,- s,2
antyfeminizm,VERB,negative,- m,2
antyfutbol,VERB,negative,- s,1
antygejowski,ADV,negative,- s,2
antygrypowo,ADJ,positive,+ s,2
antygrzybicznie,ADJ,positive,+ s,3
antygrzybiczo,ADJ,positive,+ s,2
antyhigienicznie,ADJ,negative,- s,2
antyhigieniczny,ADV,negative,- m,1
antyhumanistyczny,ADV,negative,- s,3
antyhumanitarnie,ADJ,negative,- m,2
antyhumanitarny,ADV,negative,- s,6
antyimigrancki,ADV,negative,- s,1
antyintelektualista,VERB,negative,- s,2
antyintelektualistyczny,ADV,negative,- s,1
antyintelektualnie,ADJ,negative,- s,4
antyintelektualny,ADV,negative,- s,4
antyislamski,ADV,negative,- s,1
antyjudaizm,VERB,negative,- m,2
antykatolicki,ADV,negative,- s,2
antykatolicko,ADJ,negative,- s,2
antykatolik,VERB,negative,- s,1
antyklerykalnie,ADJ,positive,+ s,1
antykobiecy,ADV,negative,- m,4
antykonkurencyjny,ADV,negative,- s,1
antykonstytucyjnie,ADJ,negative,- s,1
antykonstytucyjny,ADV,negative,- s,1
antykonsumencki,ADV,negative,- s,2
antykorozyjnie,ADJ,positive,+ s,1
antykorupcyjny,ADV,positive,+ s,1
antykościelny,ADV,negative,- s,1
antykryzysowy,ADV,positive,+ s,4
antyludowy,ADV,negative,- s,2
antyludzki,ADV,negative,- m,4
antyluterański,ADV,negative,- s,1
antylękowo,ADJ,positive,+ s,2
antymichnikowski,ADV,negative,- s,1
antymillerowski,ADV,negative,- s,1
antymiłoszowski,ADV,negative,- s,1
antymormoński,ADV,negative,- s,1
antymugolski,ADV,negative,- s,1
antymurzyński,ADV,negative,- s,2
antymuzułmański,ADV,negative,- s,1
antymęski,ADV,negative,- s,2
antynarodowo,ADJ,negative,- s,2
antynarodowy,ADV,negative,- s,2
antynauczycielski,ADV,negative,- s,2
antynaukowy,ADV,negative,- s,2
antyobywatelski,ADV,negative,- s,4
antyodżywczy,ADV,negative,- s,2
antyojcowski,ADV,negative,- s,2
antypatia,VERB,negative,- m,2
antypatriotycznie,ADJ,negative,- s,2
antypatriotyzm,VERB,negative,- m,2
antypatycznie,ADJ,negative,- m,2
antypatyczność,VERB,negative,- m,2
antypatyczny,ADV,negative,- m,4
antypody,VERB,negative,- s,2
antypokojowo,ADJ,negative,- s,2
antypolski,ADV,negative,- s,3
antypolsko,ADJ,negative,- s,2
antyreligia,VERB,negative,- m,1
antyreligijny,ADV,negative,- s,1
antyrobotniczy,ADV,negative,- s,1
antyrodzinny,ADV,negative,- s,2
antysanitarny,ADV,negative,- m,1
antysemicki,ADV,negative,- s,2
antysemicko,ADJ,negative,- s,2
antysemita,VERB,negative,- m,2
antysemityzm,VERB,negative,- m,2
antyseptycznie,ADJ,positive,+ s,2
antyseptyczny,ADV,negative,- s,1
antyslawizm,VERB,negative,- m,2
antysolidarnościowy,ADV,negative,- s,1
antyspekulacyjny,ADV,positive,+ s,1
antyspołecznie,ADJ,negative,- s,3
antyspołeczny,ADV,negative,- s,2
antystarzeniowo,ADJ,positive,+ s,1
antyszambrować,NOUN,negative,- s,1
antysztuka,VERB,negative,- m,2
antytalent,VERB,negative,- s,4
antytotalitarnie,ADJ,positive,+ s,1
antywibracyjny,ADV,positive,+ s,1
antywirus,VERB,positive,+ s,1
antywychowawczy,ADV,negative,- m,2
antywymiotnie,ADJ,positive,+ s,1
antywłamaniowy,ADV,positive,+ s,1
antyzapalnie,ADJ,positive,+ s,2
antyzwiązkowy,ADV,negative,- s,2
antyświadectwo,VERB,negative,- s,2
antyżydowski,ADV,negative,- s,3
antyżydowsko,ADJ,negative,- s,3
antyżydowskość,VERB,negative,- m,2
antyżylakowo,ADJ,positive,+ s,2
antyżywieniowy,ADV,negative,- s,2
apanaże,VERB,negative,- s,1
aparatczyk,VERB,negative,- m,2
apasz,VERB,negative,- s,2
apatia,VERB,negative,- m,2
apatycznie,ADJ,negative,- s,4
apatyczny,ADV,negative,- s,6
apetycznie,ADJ,positive,+ s,7
apetyczny,ADV,positive,+ s,6
apodyktycznie,ADJ,negative,- s,3
apodyktyczność,VERB,negative,- m,2
apodyktyczny,ADV,negative,- s,4
apokalipsa,VERB,negative,- m,5
apokaliptycznie,ADJ,negative,- m,6
apokaliptyczny,ADV,negative,- s,5
apokryficzność,VERB,negative,- s,2
apokryficzny,ADV,negative,- s,2
apolitycznie,ADJ,positive,+ s,1
apostata,VERB,negative,- s,1
apostołować,NOUN,positive,+ s,2
apotropaicznie,ADJ,positive,+ s,1
apotropeicznie,ADJ,positive,+ s,1
aprobatywny,ADV,positive,+ s,2
aprobująco,ADJ,positive,+ s,2
aprobujący,ADV,positive,+ s,1
apteczka,VERB,positive,+ m,1
arabus,VERB,negative,- s,3
arbiter,VERB,positive,+ s,2
arbiter elegantiarum,VERB,positive,+ m,2
arbitralnie,ADJ,negative,- s,4
arbitralność,VERB,negative,- s,3
arbitralny,ADV,negative,- s,4
archaicznie,ADJ,negative,- s,2
archaiczność,VERB,negative,- s,3
archaiczny,ADV,negative,- s,2
archaika,VERB,negative,- s,1
archaizować się,NOUN,negative,- s,2
arcybogaty,ADV,positive,+ m,2
arcybrzydki,ADV,negative,- s,12
arcyciekaw,ADV,positive,+ s,1
arcyciekawie,ADJ,positive,+ m,2
arcyciekawy,ADV,positive,+ s,6
arcydelikatny,ADV,positive,+ s,9
arcydowcipny,ADV,positive,+ m,4
arcydzielny,ADV,positive,+ s,13
arcydzieło,VERB,positive,+ s,5
arcykatolicki,ADV,negative,- s,3
arcykatolicko,ADJ,negative,- s,2
arcylojalny,ADV,positive,+ m,2
arcymistrz,VERB,positive,+ m,2
arcymiły,ADV,positive,+ m,6
arcyniemiły,ADV,negative,- m,6
arcynudny,ADV,negative,- m,2
arcypięknie,ADJ,positive,+ m,2
arcypiękny,ADV,positive,+ m,2
arcypoważny,ADV,negative,- m,4
arcypożyteczny,ADV,positive,+ m,2
arcysmaczny,ADV,positive,+ s,5
arcytrudny,ADV,negative,- m,2
arcyważny,ADV,positive,+ m,2
arcywróg,VERB,negative,- s,2
arcywspaniały,ADV,positive,+ m,8
arcyłgarz,VERB,negative,- m,2
arcyśmiesznie,ADJ,positive,+ m,2
arealny,ADV,negative,- s,2
argumentacja,VERB,positive,+ s,1
arka noego,VERB,positive,+ s,2
arka przymierza,VERB,positive,+ s,1
arkadia,VERB,positive,+ s,3
arkadyjski,ADV,positive,+ m,2
arkadyjsko,ADJ,positive,+ s,3
arkadyjskość,VERB,positive,+ m,2
armijka,VERB,negative,- s,1
arogancki,ADV,negative,- m,4
arogancko,ADJ,negative,- m,2
aroganckość,VERB,negative,- m,2
arogant,VERB,negative,- m,2
aromatycznie,ADJ,positive,+ s,2
aromatyczny,ADV,positive,+ s,3
artretycznie,ADJ,negative,- s,2
artretyczny,ADV,negative,- s,4
artysta,VERB,positive,+ m,2
artystycznie,ADJ,positive,+ s,3
artystyczność,VERB,positive,+ s,2
artystyczny,ADV,positive,+ m,2
artystyczny nieład,VERB,negative,- s,2
artyzm,VERB,positive,+ m,2
arystokratycznie,ADJ,positive,+ s,2
arystokratyczny,ADV,positive,+ s,2
arywista,VERB,negative,- m,2
as,VERB,positive,+ m,2
as atutowy,VERB,positive,+ s,2
as przestworzy,VERB,positive,+ s,3
as serwisowy,VERB,positive,+ s,1
as wywiadu,VERB,positive,+ s,1
ascetyczność,VERB,negative,- s,2
aseksualny,ADV,negative,- s,2
asekuracyjnie,ADJ,positive,+ s,2
asekuracyjny,ADV,positive,+ s,1
asekurancki,ADV,negative,- s,2
asekurancko,ADJ,negative,- s,2
asekuranctwo,VERB,negative,- m,2
asekurantyzm,VERB,negative,- m,2
aseptycznie,ADJ,negative,- s,4
aseptyczny,ADV,negative,- s,1
asertywnie,ADJ,positive,+ s,4
asertywny,ADV,positive,+ s,2
asocjalnie,ADJ,negative,- s,2
asocjalny,ADV,negative,- s,4
aspiracyjny,ADV,positive,+ s,2
aspołecznie,ADJ,negative,- s,4
aspołeczność,VERB,negative,- s,4
aspołeczny,ADV,negative,- s,9
astmatycznie,ADJ,negative,- s,2
astmatyczny,ADV,negative,- s,2
astralnie,ADJ,positive,+ m,2
astralny,ADV,negative,- s,2
astronomiczny,ADV,negative,- m,4
asymetrycznie,ADJ,negative,- s,2
asymetryczny,ADV,negative,- s,1
asysta,VERB,positive,+ s,1
atak,VERB,negative,- m,2
atak frontalny,VERB,negative,- s,3
atakować,NOUN,negative,- s,13
atencja,VERB,positive,+ s,2
atest,VERB,positive,+ s,1
atleta,VERB,positive,+ m,2
atletycznie,ADJ,positive,+ s,2
atletyczny,ADV,positive,+ s,4
atrakcja,VERB,positive,+ s,2
atrakcyjnie,ADJ,positive,+ s,4
atrakcyjność,VERB,positive,+ s,4
atrakcyjny,ADV,positive,+ s,6
atrapa,VERB,negative,- s,3
atrofia,VERB,negative,- m,2
atut,VERB,positive,+ s,2
atutowy,ADV,positive,+ s,2
atłasowy,ADV,positive,+ s,2
augur,VERB,positive,+ s,2
aureola,VERB,positive,+ m,1
austrofob,VERB,negative,- s,2
autentycznie,ADJ,positive,+ s,8
autentyczność,VERB,positive,+ s,4
autentyczny,ADV,positive,+ s,11
autentyka,VERB,positive,+ s,4
autentyzm,VERB,positive,+ s,2
autko,VERB,positive,+ s,1
autoagresja,VERB,negative,- m,2
autodestrukcja,VERB,negative,- m,2
autodestrukcyjnie,ADJ,negative,- s,3
autodestrukcyjny,ADV,negative,- s,3
autofilia,VERB,negative,- s,2
autoironicznie,ADJ,positive,+ s,2
autoironiczny,ADV,positive,+ s,4
autokrata,VERB,negative,- m,2
autokratycznie,ADJ,negative,- m,2
autokratyczny,ADV,negative,- m,2
autokrytyczny,ADV,negative,- s,1
automatyczny,ADV,positive,+ s,2
autonomia,VERB,positive,+ s,2
autonomicznie,ADJ,positive,+ s,4
autonomiczność,VERB,positive,+ s,2
autonomiczny,ADV,positive,+ s,5
autonomizm,VERB,positive,+ s,2
autorefleksyjny,ADV,positive,+ s,2
autorytarnie,ADJ,negative,- m,2
autorytarny,ADV,negative,- m,2
autorytatywnie,ADJ,positive,+ s,5
autorytatywność,VERB,negative,- s,2
autorytatywny,ADV,negative,- s,4
autorytet,VERB,positive,+ m,2
awangarda,VERB,positive,+ s,2
awans,VERB,positive,+ s,6
awansować,NOUN,positive,+ s,2
awantura,VERB,positive,+ s,5
awantura arabska,VERB,negative,- m,2
awanturnica,VERB,negative,- s,2
awanturnictwo,VERB,negative,- m,2
awanturniczo,ADJ,negative,- s,4
awanturniczy,ADV,negative,- s,9
awanturnik,VERB,negative,- s,4
awanturny,ADV,negative,- s,8
awaria,VERB,negative,- s,2
awaryjnie,ADJ,positive,+ s,3
awaryjność,VERB,negative,- s,1
awaryjny,ADV,negative,- s,2
awersja,VERB,negative,- m,2
awersyjny,ADV,negative,- s,2
awykonalny,ADV,negative,- s,1
azjatycki tygrys,VERB,positive,+ s,1
azyl,VERB,positive,+ s,6
baba,VERB,negative,- s,4
baba jaga,VERB,negative,- m,2
baba-chłop,VERB,negative,- m,2
baba-jaga,VERB,negative,- m,2
babi,ADV,negative,- s,2
babiarz,VERB,negative,- m,2
babie lato,VERB,positive,+ s,1
babka,VERB,negative,- s,2
babkowaty,ADV,negative,- s,2
babochłop,VERB,negative,- m,2
babon,VERB,negative,- m,2
babrać,NOUN,negative,- s,17
babrać się,NOUN,negative,- s,13
babrała,VERB,negative,- s,2
babski,ADV,negative,- s,2
babsko,ADJ,negative,- s,2
babsko,VERB,negative,- m,2
babsztyl,VERB,negative,- m,2
babula,VERB,positive,+ s,2
babunia,VERB,positive,+ m,2
babus,VERB,negative,- m,2
babusia,VERB,positive,+ s,2
babuśka,VERB,positive,+ s,2
bachanalia,VERB,negative,- s,1
bachanalie,VERB,negative,- s,1
bachantka,VERB,negative,- s,2
bachnąć,NOUN,negative,- s,5
bachnąć się,NOUN,negative,- s,6
bachor,VERB,negative,- m,2
bacować,NOUN,positive,+ s,1
bacznie,ADJ,positive,+ s,2
baczny,ADV,positive,+ s,2
baczyć,NOUN,positive,+ s,2
badaczka,VERB,positive,+ s,1
badawczo,ADJ,positive,+ s,4
badawczość,VERB,positive,+ s,2
badać,NOUN,positive,+ s,5
badyl,VERB,negative,- s,2
badylarz,VERB,negative,- s,2
badylasty,ADV,negative,- s,1
badziewiarski,ADV,negative,- m,4
badziewie,VERB,negative,- s,2
badziewnie,ADJ,negative,- s,3
badziewny,ADV,negative,- m,4
bagatelny,ADV,negative,- s,3
bagienko,VERB,negative,- s,3
bagno,VERB,negative,- m,2
bajać,NOUN,negative,- s,7
bajdurzyć,NOUN,negative,- s,5
bajdurzyć się,NOUN,negative,- s,2
bajecznie,ADJ,positive,+ s,5
bajeczność,VERB,positive,+ m,2
bajeczny,ADV,positive,+ m,4
bajerancki,ADV,positive,+ m,2
bajerancko,ADJ,positive,+ s,3
bajerant,VERB,negative,- m,2
bajerować,NOUN,negative,- s,3
bajkowo,ADJ,positive,+ s,2
bajkowość,VERB,positive,+ m,2
bajkowy,ADV,positive,+ m,2
bajtel,VERB,positive,+ s,1
bajzel,VERB,negative,- s,5
bakteriobójczo,ADJ,positive,+ s,1
bakteriostatycznie,ADJ,positive,+ s,1
bakteryjnie,ADJ,negative,- s,1
balansować,NOUN,positive,+ s,3
balas,VERB,negative,- s,1
balast,VERB,negative,- m,2
balastować,NOUN,negative,- s,3
balecik,VERB,negative,- s,2
baletować,NOUN,positive,+ s,3
balety,VERB,positive,+ s,2
balon,VERB,negative,- s,2
balować,NOUN,positive,+ s,10
balsamicznie,ADJ,positive,+ s,6
balsamiczny,ADV,positive,+ s,6
bamber,VERB,negative,- s,2
bambetle,VERB,negative,- s,1
banalnie,ADJ,negative,- s,5
banalność,VERB,negative,- s,2
banalny,ADV,negative,- m,4
banan,VERB,negative,- s,6
bananowa młodzież,VERB,negative,- s,2
bananowiec,VERB,negative,- m,2
bananowy,ADV,negative,- s,2
banda,VERB,positive,+ s,6
banderowiec,VERB,negative,- s,2
banderowski,ADV,negative,- s,1
bandycki,ADV,negative,- m,6
bandycko,ADJ,negative,- m,4
bandyckość,VERB,negative,- m,2
bandyta,VERB,negative,- m,2
bandytyzm,VERB,negative,- m,2
bandzior,VERB,negative,- s,3
banglać,NOUN,positive,+ s,2
bania,VERB,negative,- s,4
banita,VERB,negative,- s,3
bankowo,ADJ,positive,+ m,1
bankructwo,VERB,negative,- m,2
bankrut,VERB,negative,- s,4
bankrutka,VERB,negative,- s,1
baran,VERB,negative,- m,2
baranek,VERB,positive,+ s,2
barani łeb,VERB,negative,- m,2
barania głowa,VERB,negative,- m,2
baraszki,VERB,positive,+ s,2
barbaria,VERB,negative,- m,1
barbarzyńca,VERB,negative,- m,2
barbarzyński,ADV,negative,- m,6
barbarzyńsko,ADJ,negative,- s,10
barbarzyńskość,VERB,negative,- s,4
barbie,VERB,negative,- s,2
barczysty,ADV,positive,+ s,1
bariera,VERB,negative,- s,2
bariera architektoniczna,VERB,negative,- s,1
bariera językowa,VERB,negative,- s,2
bariera techniczna,VERB,negative,- s,1
barokowo,ADJ,negative,- s,2
barowa aura,VERB,negative,- s,2
barowa pogoda,VERB,negative,- s,2
barowo,ADJ,negative,- s,2
barowy,ADV,negative,- s,2
barwić,NOUN,positive,+ s,2
barwić się,NOUN,positive,+ s,4
barwnie,ADJ,positive,+ s,3
barwny,ADV,positive,+ m,2
baryłkowaty,ADV,negative,- s,2
barłóg,VERB,negative,- s,1
basałyk,VERB,positive,+ s,2
bastard,VERB,negative,- s,2
bastardowy,ADV,negative,- s,2
bastion,VERB,positive,+ s,1
bat,VERB,negative,- s,1
batalia,VERB,negative,- m,2
batożnik,VERB,negative,- m,2
baty,VERB,negative,- m,2
bawiać się,NOUN,positive,+ s,4
bawidamek,VERB,negative,- s,2
bawić,NOUN,positive,+ s,6
bawić się,NOUN,negative,- s,13
bawół,VERB,negative,- s,2
bazgracz,VERB,negative,- m,2
bazgrać,NOUN,negative,- s,6
bazgrała,VERB,negative,- m,2
bazgrolić,NOUN,negative,- s,5
bazgrot,VERB,negative,- s,2
bazyliszek,VERB,negative,- m,2
bazyliszkowaty,ADV,negative,- m,2
bałagan,VERB,negative,- s,2
bałaganiarski,ADV,negative,- s,4
bałaganiarsko,ADJ,negative,- s,2
bałaganiarstwo,VERB,negative,- m,2
bałaganiarz,VERB,negative,- s,2
bałaganić,NOUN,negative,- s,5
bałaganić się,NOUN,negative,- s,4
bałaguła,VERB,negative,- s,4
bałamut,VERB,negative,- s,3
bałamutnie,ADJ,negative,- s,4
bałamutnik,VERB,negative,- s,2
bałamutność,VERB,negative,- m,2
bałamutny,ADV,negative,- s,8
bałwan,VERB,negative,- m,2
bałwaniasty,ADV,negative,- m,2
bałwaństwo,VERB,negative,- m,2
bałwochwalca,VERB,negative,- m,4
bałwochwalczo,ADJ,negative,- s,3
bałwochwalczy,ADV,negative,- m,2
bałwochwalski,ADV,negative,- m,2
bałwochwalsko,ADJ,negative,- s,3
bałwochwalstwo,VERB,negative,- m,2
bańka,VERB,negative,- s,2
bańka kredytowa,VERB,negative,- m,2
bańka mydlana,VERB,negative,- s,2
baśniowo,ADJ,positive,+ s,6
baśniowość,VERB,positive,+ m,2
baśniowy,ADV,positive,+ s,4
bean,VERB,negative,- m,2
beania,VERB,negative,- s,1
bebechowaty,ADV,negative,- s,2
bebechowy,ADV,negative,- s,2
bebeszyć,NOUN,negative,- s,2
bech,VERB,negative,- s,2
beczeć,NOUN,negative,- s,4
beczka bez dna,VERB,negative,- s,6
beczkowaty,ADV,negative,- s,2
beczkowo,ADJ,positive,+ s,2
